skill_key,name,tree,tier,cost,prereq_raw,matched_prereq_keys,chain,is_active,source_label,description
martial_sweeping_strike,Sweeping Strike,Martial,2,475,None,,"Heavy Armaments → Berserker → Sweeping Strike Sweeping Strike allows the fighter to hit multiple adversaries in one strike, if they are within reach.",True,Railbound Skill Guide v4 p70,"This ability is used while standing in place – you cannot move in order to widen the range, or to move out of strike range. + Bonus Action, 1 AP This effect strikes TWO enemies when using a standard heavy weapon. This effect strikes THREE enemies when using a heavy polearm. This ability is capable of friendly fire – allies that are within the weapon’s range will also be hit. This ability functions the same as an AOE. It is prudent to ask the GM for a map before using this ability."
martial_honed_strike,Honed Strike,Martial,1,265,None,,"Heavy Armaments → Honed Strike → Mastered Strike Honed Strike is a beginner’s technique to place more strength and purpose into a blow. The fighter puts all of their weight into this move, over-extending their muscles. This usually results in injury.",True,Railbound Skill Guide v4 p71,"+ Bonus Action, 1 AP + Output is increased by 20%. + Fighter takes a T1 injury. + Single turn."
martial_mastered_strike,Mastered Strike,Martial,2,475,None,,Heavy Armaments → Honed Strike → Mastered Strike,True,Railbound Skill Guide v4 p71,"Mastered Strike is the more perfected form of honed strike. With experience, any fighter can learn this move without the risk of over-extension or self-harm. + Bonus Action, 1 AP + This ability REPLACES Honed Strike. + Output is increased by 30%. + Fighter takes no injury."
martial_light_armaments,Light Armaments,Martial,0,50,None,,Light Armaments → Crowd Feint → Swashbuckler Light Armaments → Unbound → Disarm Light Armaments → Duelist → Parry Light Armaments shows your skill in a light weapon discipline.,True,Railbound Skill Guide v4 p72,"These weapons include: ● Rondels, rapiers, dirks, swordbreakers, kukri etc ● Flexible light weapons, including whips and flails ● Light polearms – including the spear, partisan, naginata ● Any other marked “Light Arms” + Gain a 2% bonus to damage output when using a light arm."
martial_crowd_feint,Crowd Feint,Martial,1,265,Light Armaments,martial_light_armaments,"Light Armaments → Crowd Feint → Swashbuckler Crowd Feint is the ability to fall back into a fighting line, or move across the battle in a way that does not draw attention to yourself. It is NOT sneaking, but rather, a way to ensure your opponent does not see you as the biggest thread on the field.",True,Railbound Skill Guide v4 p73,"The form this ability actually takes is up to the character. + Bonus Action, 1 AP + Adversaries suffer a 10% reaction penalty to your attacks. + Duration: 1 Turn + Only one person in your team may have Crowd Feint active. + This ability requires at least 2 unrestrained allies besides yourself."
martial_swashbuckler,Swashbuckler,Martial,2,475,Crowd Feint,martial_crowd_feint,"Light Armaments → Crowd Feint → Swashbuckler Swashbuckler allows you to use cunning and daring to move into and out of focus or range at will, needling opponents as they struggle to deal with allies.",True,Railbound Skill Guide v4 p74,"+ Bonus Action, 2 AP + This ability requires at least 2 unrestrained allies besides yourself. + Duration: 3 Turns + Adversaries suffer a 35% reaction penalty to your attacks. + You gain a reaction score boost of x1.05 when reacting. + Stacks with any other on-going reaction modifiers."
martial_unbound,Unbound,Martial,1,265,Light Armaments,martial_light_armaments,"Light Armaments → Unbound → Disarm Unbound is a focused combat technique, combining precision and speed to unleash a flurry of blows and movement. So much energy and concentration is poured into this ability that it can only be kept up for a limited time – afterward, exhaustion and weakness will take over.",True,Railbound Skill Guide v4 p75,"+ Bonus Action, 3 AP + Duration: 3 Turns + Dexterity is boosted by x 1.20 + Attack Speed is boosted by x 1.10 + Wound severity is IGNORED. + You gain one MIRRORED ACTION per turn during this period. + This must be based on a DEX-BASED ATTACK. + This must be directed at the same target as the mirrored action. + Wounds obtained during this state are more deadly. + For every injury taken, add a second injury one tier lower. + T1 injuries always result in a second T1. + WHEN THIS EFFECT ENDS, THE FOLLOWING MODIFIERS APPLY FOR THE REST OF THE SCENE: + Dex is weakened: STR x 0.7 + Stamina is weakened: STA x 0.7 + Attack Speed is weakened: Attack Speed x 0.9 + Reaction Score is weakened; Reaction Score x 0.9"
martial_disarm,Disarm,Martial,2,475,Unbound,martial_unbound,Light Armaments → Unbound → Disarm Disarm is a swift technique to attempt to ‘swordbreak’ or disarm an opponent. Useless against unarmed opponents.,True,Railbound Skill Guide v4 p76,"+ Bonus Action, 1 AP + ON SUCCESS: + Target drops weapon. + Target may retrieve their weapon using a bonus action if any of the conditions apply later in the scene: + Combat is completed; + Target becomes concealed or hidden; + Target cannot be reasonably blocked from the weapon (i.e, player team’s reaction economy is overcame by target’s allies) + Target is narratively allowed via RP to retrieve it. This is NOT an autohit ability! Disarm “autohits” only when the opponent CANNOT clash or defend. GM must roll for success AFTER the player makes their post, and calculates normal output results; in player-led spars, the person responsible for rolling is the DEFENDER, OR you may submit a request for a GM. Please communicate appropriately. 1d20 + MODIFIERS 14+ ROLL WINS; NAT 20 LANDS FREE T1 ON TOP OF DISARM; CRIT FAIL player takes T1 and cannot use ability again in the scene. Player takes GUN DAMAGE if CRIT FAILing a disarm against a loaded firearm capable of firing. ACCEPTABLE MODIFIERS: ● Any Disarm modifier bestowed by items, traits, or spells ● Luck, relevant Knowledge skill bonuses, or GM-provided situation bonuses ● +1 for every 10 damage that actually lands"
martial_duelist,Duelist,Martial,1,265,Light Armaments,martial_light_armaments,Light Armaments → Duelist → Parry Duelist is a fighting form that requires quick and nimble movements to outpace an opponent.,True,Railbound Skill Guide v4 p77,"+ Bonus Action, 1 AP + Attack speed is increased: Attack Speed x 1.15 + Effect applies for ALL attacks and reactions within turn."
martial_parry,Parry,Martial,2,475,Duelist,martial_duelist,"Light Armaments → Duelist → Parry Becoming an experienced Duelist results in learning how to successfully parry attacks, not just block or dodge them.",True,Railbound Skill Guide v4 p78,"+ Bonus Action, 1 AP + This ability REPLACES Duelist. + Attack speed is increased: Attack Speed x 1.20 + Effect applies for ALL attacks and reactions within turn. + PARRY: + Does not work against ranged attacks, guns, or magic. + On reaction, if attack speed is 20% higher than incoming attack’s speed, you may choose to parry rather than dodge. + Parry reflects 50% of physical damage back to the attacker. + If this occurs in Phase 3, attacker can use their next bonus action to defend in their Action phase."
martial_martial_arts,Martial Arts,Martial,0,50,None,,Martial Arts → Offensive Defense → Furious Technique Martial Arts → Trance → Disarm Martial Arts → Brawler → Grappler Martial Arts is your skill with fighting unarmed.,True,Railbound Skill Guide v4 p79,"The use of any weapon, including ranged weapons or guns being actively wielded, disables this style. You must be HANDS FREE. Offensive wearables are permitted: ● Gloves, mail mitts, and bracers ● Knuckledusters ● Hand Claws + Gain a 4% bonus to damage output when fighting unarmed."
martial_offensive_defense,Offensive Defense,Martial,1,265,Martial Arts,martial_martial_arts,"Martial Arts → Offensive Defense → Furious Technique Offensive Defense means learning to always have a proactive approach to an attacker, no matter if they are armed or not. You meet attacks head-on.",True,Railbound Skill Guide v4 p80,"The form this ability actually takes is up to the character. + Bonus Action, 1 AP + Duration: 1 Turn + All clashing reaction attacks get a clashing bonus of x1.15. + Does not work on ranged, gun, or magic attacks."
martial_furious_technique,Furious Technique,Martial,2,475,Offensive Defense,martial_offensive_defense,Martial Arts → Offensive Defense → Furious Technique,True,Railbound Skill Guide v4 p81,"The best defense is a good offense – right? You are ready to meet challenges and show that you will not back down. + Bonus Action, 2 AP + Duration: 3 Turns + All clashing reaction attacks get a clashing bonus of x1.25. + Does not work on ranged, gun, or magic attacks. + You are able to clash at 100% capacity even when doing partial reactions."
martial_trance,Trance,Martial,1,265,Martial Arts,martial_martial_arts,"Martial Arts → Trance → Disarm Berserker is exactly what you think it is – for a limited time, focus all of your energy, adrenaline, and focus into a bloodlust to seize control of the fight. Be careful, however, as this is extremely taxing on the body.",True,Railbound Skill Guide v4 p82,"+ Bonus Action, 3 AP + Duration: 3 Turns + Strength is boosted by x 1.15 + Dexterity is boosted by x 1.15 + Wound severity is IGNORED. + Wounds obtained during this state are more deadly. + For every injury taken, add a second injury one tier lower. + T1 injuries always result in a second T1. + You are able to more effectively grapple. + Grappling attacks do x1.15 output. + Stacks with any other Grapple bonus. + You are able to more effectively disarm. + Gain +3 to Disarm roll. + WHEN THIS EFFECT ENDS, THE FOLLOWING MODIFIERS APPLY FOR THE REST OF THE SCENE: + Strength is weakened: STR x 0.8 + Dexterity is weakened: DEX x 0.8"
martial_disarm_2,Disarm,Martial,2,475,Trance,martial_trance,Martial Arts → Trance → Disarm Disarm is a swift technique to attempt to ‘swordbreak’ or disarm an opponent. Useless against unarmed opponents.,True,Railbound Skill Guide v4 p83,"+ Bonus Action, 1 AP + ON SUCCESS: + Target drops weapon. + Target may retrieve their weapon using a bonus action if any of the conditions apply later in the scene: + Combat is completed; + Target becomes concealed or hidden; + Target cannot be reasonably blocked from the weapon (i.e, player team’s reaction economy is overcame by target’s allies) + Target is narratively allowed via RP to retrieve it. This is NOT an autohit ability! Disarm “autohits” only when the opponent CANNOT clash or defend. GM must roll for success AFTER the player makes their post, and calculates normal output results; in player-led spars, the person responsible for rolling is the DEFENDER, OR you may submit a request for a GM. Please communicate appropriately. 1d20 + MODIFIERS 14+ ROLL WINS; NAT 20 LANDS FREE T1 ON TOP OF DISARM; CRIT FAIL player takes T1 and cannot use ability again in the scene. Player takes GUN DAMAGE if CRIT FAILing a disarm against a loaded firearm capable of firing. ACCEPTABLE MODIFIERS: ● Any Disarm modifier bestowed by items, traits, or spells ● Luck, relevant Knowledge skill bonuses, or GM-provided situation bonuses ● +1 for every 10 damage that actually lands"
martial_brawler,Brawler,Martial,1,265,Martial Arts,martial_martial_arts,"Martial Arts → Brawler → Grappler Brawlers are scrappers, able to turn their environment itself into a temporary weapon.",True,Railbound Skill Guide v4 p84,"+ Bonus Action, 1 AP + Output has increased by 15%. + Single Turn"
martial_grappler,Grappler,Martial,2,475,Brawler,martial_brawler,"Martial Arts → Brawler → Grappler Grapplers have mastered creative fighting, and are able to subdue opponents more effectively.",True,Railbound Skill Guide v4 p85,"+ Bonus Action, 1 AP + This ability REPLACES Brawler. + Output has increased by 15%. (x1.15) + When a successful grapple is used with this ability, the fighter does not incur the grapple reflex penalty."
martial_form_mastery,Form Mastery,Martial,3,650,"Furious Technique, Disarm, Grappler","martial_furious_technique, martial_grappler, martial_disarm","Form Mastery allows a character to choose from a pre-existing form of unarmed fighting, or develop their own.",True,Railbound Skill Guide v4 p85,"+ Form Mastery permits the creation of 1 custom passive or active ability. + This ability MUST be reviewed and approved by admin staff. + Once a Form Mastery is developed, it can be taught to other players who have obtained the prerequisites of Form Mastery. Supplementary"
martial_simple_ranged,Simple Ranged,Martial,0,50,None,,Simple Ranged unlocks the skill required to use basic ranged weapons.,True,Railbound Skill Guide v4 p86,"These do NOT include any guns. Gun use must be unlocked through the Gunslinger tree. Simple Ranged weapons include: ● Light bows (ex: Recurve, short bow) ● Long Bows ● Crossbows ● Blowdarts ● Slingshots + Able to effectively use “Simple Ranged” weapons in combat."
magecraft_restoration_school,Restoration School,Magecraft,1,50,T1; None,,,True,Railbound Skill Guide v4 p99,"Restoration is the school of healing. These spells do not cause damage, they reverse it. Healing always occurs worst to least, and can heal ONE injury at a time. When stabilizing injuries, or healing a T3 or above, you require full action economy and cannot act or react once started. Taking Regeneration grants the following spell capabilities: ● Can heal T1 injuries in 1 Turn ● Can heal T2 injuries in 2 Turns ● Can stabilize DOTs from T3s and below Example Use: Jerry has a T2 and 3 T1 injuries. Tom can sustain a restoration spell and heal all of Jerry’s injuries in 5 turns: T2 (2 Turns) -> T1 (1 Turn) -> T1 (1 Turn) -> T1 (1 Turn)"
magecraft_advanced_restoration,Advanced Restoration,Magecraft,2,175,T2; Restoration,magecraft_restoration_school,,True,Railbound Skill Guide v4 p100,"Advanced Restoration is the study of healing advanced physical and magical injuries. Healing always occurs worst to least, and can heal ONE injury at a time. When stabilizing injuries, or healing a T4 or above, you require full action economy and cannot act or react once started. Grants the following: ● 2x T1 injuries in 1 Turn ● 1x T2 injury in 1 Turn ● 1x T3 injury in 2 Turns ● Can stabilize DOTs from T4s and below"
magecraft_mastered_restoration,Mastered Restoration,Magecraft,3,325,T3; Advanced Restoration,"magecraft_advanced_restoration, magecraft_restoration_school",,True,Railbound Skill Guide v4 p101,"Mastered Restoration is the study of healing catastrophic damage quickly, including suspension of the dying. When stabilizing injuries, or healing a T4 or above, you require full reaction economy and cannot react. Grants the following: ● 4x T1 injuries in 1 Turn ● 2x T2 injuries in 1 Turn ● 1x T3 injury in 1 Turn ● 1x T4 injury in 3 Turns ● Can stabilize T5 injuries NOTATION ON T4+ HEALING: This specialization is on stopping catastrophic damage and death. It CANNOT restore, regrow, or reattach missing or severed organs and limbs. Unlike with lower-tier Restoration techniques, using Mastered Restoration does not run the risk of leaving additional scarring or disabilities when stabilizing T4+ injuries."
magecraft_purification,Purification,Magecraft,2,175,T2; Advanced Restoration,"magecraft_advanced_restoration, magecraft_restoration_school",,True,Railbound Skill Guide v4 p102,"Allows the use of Restoration to be used as an Area of Effect spell, or to purify special conditions such as disease, poison, and DOTs not caused by an injury. These effects must be created as separate, individual spells. AOE Healing comes at the cost of +20% mana per person to both cast and sustain. AOE Healing spells must be their own spells – this effect cannot be applied to single-target healing spells. Remember that with Restoration, the cast cost and the sustain cost are the same. EXAMPLE AOE HEALING COSTS 2 People 3 People 4 People 5 People Restoration 18 mana 21 mana 24 mana 27 mana Adv. Restoration 30 mana 35 mana 40 mana 45 mana M. Restoration 90 mana 105 mana 120 mana 135 mana"
magecraft_abjuration_school,Abjuration School,Magecraft,1,50,T1; None,,,True,Railbound Skill Guide v4 p103,Taking Abjuration grants the following spell capabilities: ● Can cast defense type spells Defense spells are short-term personal barrier-like spells that can protect against both magical and physical attacks. Defense spells: ● Can only last 1 turn and cannot be sustained ● Can only protect a single target ● Cost less to cast than normal spells (Cost x 0.75) ● Have an effective output when clashing against magic that is x1.25 ● Have an effective output when clashing against physical of x0.95
magecraft_wards,Wards,Magecraft,2,175,T2; Abjuration,magecraft_abjuration_school,,True,Railbound Skill Guide v4 p104,"Wards are defensive “trigger” spells, which can be placed on a target or object, sometimes covertly, and then triggered by a specific condition. Wards are unique in that they can be easily combined with other schools to create complex magical effects. Wards are designed to impact the thing that the ward is attached to – they cannot be used to reflect or deal damage to others. Wards are sustained at 1/4th the mana cost instead of half. TYPES OF WARDS TYPE POWER BAND NOTES Simple Wards Any Trigger a defense spell when hit with damage. Can only defend against 75% the maximum output of the power band used. Complex Wards Standard+ Combines a simple ward with a compatible effect from another school."
magecraft_barriers,Barriers,Magecraft,2,175,T2; Abjuration,magecraft_abjuration_school,,True,Railbound Skill Guide v4 p105,"Barriers are powerful defense spells that can control or protect entire areas. They generally take the shape of a dome or sphere. The size and strength of a barrier is limited by the power band it is cast at. POWER BAND Maximum Size Maximum Health Minimal (5 mana) 5 meters x1.5 Weak (10 mana) 10 meters x1.5 Standard (25 mana) 25 meters x2 Heavy (50 mana) 50 meters x2 Extreme (100 mana) 100 meters x2.5 SUSTAINING BARRIERS Barriers are hard to maintain. Mages cannot move around while sustaining a barrier, leaving them physically vulnerable. They can still cast spells. Barriers have a normal sustain cost (½ mana cost). REPAIRING BARRIERS Barriers can be repaired to full health by using a bonus action. This is not free. The cost to repair is determined by the percentage of the barrier that has been damaged. You must still also pay to sustain the barrier in the same turn. The cost to repair a barrier is 25% of the cost it took to cast it. ( Cost = Mana Cost x 0.25 )"
magecraft_reflection,Reflection,Magecraft,3,325,T3; Barriers & Destruction,"magecraft_destruction_school, magecraft_barriers",,True,Railbound Skill Guide v4 p106,"Allows the use of reflection with abjuration spells. Requires knowledge of destruction spells. Reflection can only reflect either magical damage or physical damage, NEVER both. There must be separate spells for each type of reflection. Reflection is Source-intensive, and requires concentration to properly use. To use reflection: ● Spells with reflection cost 20% more to cast. ● You are only able to reflect ONCE per turn. ● You must use a bonus action to successfully reflect. ● You may only reflect back damage that was actually taken by the abjuration spell, and it cannot have fully broken the spell. ● You may reflect back a maximum of 2/3rds of the abjuration spell’s ability to take output. ○ Example: A barrier with 600 maximum health can reflect up to a maximum of 400. ● SAFE OUTPUT LIMITS APPLY. If you reflect back 400 output when you can only handle doing 200 output, you will take 200 output of damage."
magecraft_alteration_school,Alteration School,Magecraft,1,50,T1; None,,,True,Railbound Skill Guide v4 p107,"The Alteration school of magic is the study of spells that alter magic to provide changes to physical things. It is not the study of completing changing or creating matter – that belongs to the Transmutation school. Taking Alteration provides the following: ● Unlocks the ability to cast basic Reinforcement spells Reinforcement spells can be used to directly boost the derived physical stats of a target; this level of alteration cannot be used to impact core stats. These include: ● Dodge ● Reaction ● Fortitude ● AP ● Carry Capacity The power that these are reinforced by are determined by the power band of the spell when it is cast. Power Band Mana Cost Dodge, Reaction, & Fortitude AP, Carry Capacity Minimal 5 +10 N/A Weak 10 +30 +1 Standard 25 +50 +2 Heavy 50 +70 +4 Extreme 100 +100 +6"
magecraft_reinforcement,Reinforcement,Magecraft,2,175,T2; Alteration,magecraft_alteration_school,,True,Railbound Skill Guide v4 p108,"Learning Reinforcement provides the following benefits: ● Unlock the ability to cast advanced Reinforcement spells Reinforcement spells from this tier allow you to buff core physical stats. These include: ● Strength ● Dexterity ● Stamina ● NOTE: You CANNOT stack reinforcements of the same type. The power of your reinforcement is determined by the power band you choose to cast at: Power Band Mana Cost STR, DEX, STA Standard 25 +30 Heavy 50 +50 Extreme 100 +75"
magecraft_weakening,Weakening,Magecraft,2,175,T2; Alteration,magecraft_alteration_school,,True,Railbound Skill Guide v4 p109,"Learning Weakening grants the ability to cast Weakening spells. Weakening spells can affect any physical stat; however, for Weakening spells to go into effect, you must successfully hit your target – if they fully clash against or dodge your spell, it will have no effect. Power Band Mana STR/DEX/STA Dodge, Reaction, Fortitude AP, Carry Capacity Minimal 5 -10 -20 -1 Weak 10 -20 -40 -2 Standard 25 -50 -75 -3 Heavy 50 -75 -100 -6 Extreme 100 -100 -150 -9"
magecraft_transformation,Transformation,Magecraft,3,325,T3; Reinforcement & Weakening,"magecraft_reinforcement, magecraft_weakening",,True,Railbound Skill Guide v4 p110,"Transformation allows the caster to transform their own body, taking on a new organic form. This may be used to mimic other people, simply change their appearance, or even take on animal-like forms. Spells that transform other people require Telekinetics. Power bands determine the extent of the transformation. Transformations require a large up-front cost, but can be sustained for the standard mana rate, according to the power band used. Please follow the table below when constructing spells. Power Band Initial Cost Sustain Description Minimal 8 3 Able to transform one limb Weak 15 5 Able to transform half a body Standard 38 13 Able to fully transform the body; this is limited to human shapes, and cannot replicate small details, nor change voice or sex. Heavy 75 25 Full body transformation; limited to human shapes. Can replicate small details, and change voice and sex. Extreme 150 50 Full body transformation. No longer limited to humanoid forms. Non-humanoid forms must be mundane and pre-approved within the spell."
magecraft_mana_form,Mana Form,Magecraft,4,625,T4; Transformation & 3 Magic Schools & KARMA LOCKED,magecraft_transformation,,True,Railbound Skill Guide v4 p111,"A Mana Form is an exceedingly rare ability, requiring access or mastery of raw Source. Mana Forms require 200 mana to cast, but they do not have a sustain cost and may be maintained until they are removed by the caster or until the end of the scene. ● Mana Forms cannot be used on other targets. ● Mana Forms are unique to the caster, and cannot be taught or shared. ● Mana Forms are KARMA LOCKED. This means: ○ You must have pre-approval from staff. ○ You must have a positive Karma record, proving an ability to handle difficult or demanding roleplay and an ability to create and drive plots. ○ You must demonstrate substantial RP to obtain the form. You may create Mana Forms for Forces that you have at T4 or above. ● Mana Forms must take on a physical manifestation (they cannot be metaphysical). ● Mana Forms have staff-approved abilities, bonuses, and weaknesses while they are active."
magecraft_destruction_school,Destruction School,Magecraft,1,50,T1; None,,,True,Railbound Skill Guide v4 p112,"The Destruction school studies the practice of offensive, damaging, and harm-causing magics. Learning Destruction: ● Grants the ability to cast Offense spells ● Grants the ability to cast Restraint spells Power Bands dictate the cost and overall power of Destruction spells. Offense spells are standard attack spells. Restraint spells are a spell type that attempts to magically restrain a target. ● Restraint spells themselves do not cause damage. ● To successfully restrain, a restraint spell must successfully hit the target. ● Restrained people: ○ Cannot sustain spells, use magic, or move ○ Can attempt to break out using a bonus action ○ To escape Restraint, follow the same formula as breaking out of a Grapple: ■ (STR + STA + Modifiers) > Restraint Spell Output"
magecraft_offensive_area_magic,Offensive Area Magic,Magecraft,2,175,T2; Destruction,magecraft_destruction_school,,True,Railbound Skill Guide v4 p113,Learning Offensive Area Magic: ● Unlocks the ability to cast AOE Restraint spells ● Unlocks the ability to cast AOE Destruction spells AOEs must be their own spell. AOEs cost +5% more to cast per additional target.
magecraft_offensive_wards,Offensive Wards,Magecraft,2,175,T2; Destruction & Wards,"magecraft_destruction_school, magecraft_wards",,True,Railbound Skill Guide v4 p114,
magecraft_transmutation_school,Transmutation School,Magecraft,1,50,T1; None,,,True,Railbound Skill Guide v4 p115,"This school unlocks the following spell types: Transmutation, Supplementary - Example spells include summoning a sword, or transforming the metal in a lock to something brittle. Supplementary are “miscellaneous” spells that change the way the world works – for example, a featherlight or gravity spell. Supplementary is often combined with another spell type to create very complex effects. Transmutation and Supplementary spells allow for full creativity; however, all transmute spells must be approved before use. More powerful effects will require higher power bands to cast. Rules ● You must be able to DODGE the attack to transmute it into a different object. ● It must have the same or loosely the similar amount of mass ● You can transmute a spell but not into a different spell, and if the enemies uses a higher spell it won't work. ● If the spell band is the same but their force tier exceeds yours it won't work"
magecraft_area_transmutation,Area Transmutation,Magecraft,2,175,T2; Transmutation,magecraft_transmutation_school,,True,Railbound Skill Guide v4 p116,
magecraft_summoning,Summoning,Magecraft,3,325,T3; Area Transmutation & Telekinetics,"magecraft_area_transmutation, magecraft_transmutation_school, magecraft_telekinetics",,False,Railbound Skill Guide v4 p117,
magecraft_telemancy_school,Telemancy School,Magecraft,1,50,T1; None,,,True,Railbound Skill Guide v4 p118,"Learning Telemancy unlocks the following: ● Able to cast Communication spells ● Able to cast Mark spells Mark Spells ● Marks are a generic, minimal form of Source. ○ Marks have utility across multiple Schools; they can be used as a “homing beacon” for very long distance spells, tracking, and many other tactical uses. ● Marks are all touch-based spells to apply. ● Marks are like fingerprints, and the Source used to make them may fade over time if they are not actively maintained. ○ This time is measured in IRP days; usually 1 day per power band used to create them. (Minimal = 1 day; Extreme = 5 days) Communication Spells Communication magic allows the caster to project auditory or visual messages across distances. ● The maximum distance a communication spell can be used is based on AFFINITY: ○ Affinity x 0.01 = Maximum distance in meters ● An existing Mark spell, so long as the caster has knowledge of it, can circumvent the distance limitations. Communication Power Bands Casting different kinds of communication spells requires different power bands. Please refer to the table below for guidelines. Power Band Communication Limitations Minimal Open broadcast spells; everyone in range can hear. Cannot use marks. Weak One-way audio spells. Recipient must cast their own communication spell to reply. Standard Two-way audio spells. Caster must sustain this spell, but allows recipient to reply freely. Heavy Two-way audio-visual spells. Caster must sustain this spell, but allows recipient to reply freely. Extreme Able to do targeted broadcasts to multiple people at once, even if spread out. These are ‘private’ to the broadcast recipients."
magecraft_illusion,Illusion,Magecraft,2,175,T2; Telemancy,magecraft_telemancy_school,,True,Railbound Skill Guide v4 p120,"Learning Telemancy unlocks the following: ● Able to cast Illusion spells Illusion is a practice taught under Telemancy that focuses on the transmission of thought-altering spells rather than simple communication. Illusions can trick or deceive. When combined with another spell discipline, this allows for the creation of very complex and unique spells. The scope and power of an illusion is dependent on its power band. All illusion spells must be reviewed and approved before they can be used."
magecraft_telekinetics,Telekinetics,Magecraft,2,175,T2; Telemancy,magecraft_telemancy_school,,True,Railbound Skill Guide v4 p121,"Telekinetics is a complex study of Source, that permits the use of Telemancy “at a distance.” Unlocking Telekinetics: ● Enables more corporeal effects for all Telemancy and Illusion spells An example of a very simple telekinetic spell is straightforward telekinesis – moving or affecting objects at a distance without the use of a Force, and without transmuting them. However, telekinetics can be used for much more than this. Combined with Illusion, it allows for “physical” manifestations of illusions; combined with other schools, it can enable complex remote abilities or extend the range of spells. Telekinetic spells must be reviewed and approved before they can be used."
magecraft_runic_study,Runic Study,Magecraft,3,325,T3; Telekinetics,magecraft_telekinetics,,True,Railbound Skill Guide v4 p121,"Runic Study is a purely academic school of magic. It is the direct study of raw Source. Runic Study is sometimes used to directly work with raw Source. Unlocking Runic Study: ● Enables the creation of Runes Magic Skills Beyond forces and schools, there are a number of magic-related skills. Each magic skill has an associated TIER. ● Skill Tiers DO NOT depend on Forces. ● Skill Tiers are ONLY used to determine if a character can learn the skill at all (i.e, what is available to everyone, or all-rounders)"
magecraft_mana_skin,Mana Skin,Magecraft,0,50,T0,,,True,Railbound Skill Guide v4 p122,"Mana Skin → Reflexive Mana Skin Mana Skin is a very simple but often undertrained skill; the technique allows a person to control their body’s own mana to serve as a temporary shield against hostile environments or magical effects. ACTIVE SKILL This spell costs 1 AP each time it is used to reduce damage from attacks. Requires a bonus action to activate. + Drains 2% of mana per turn to maintain. + Immunity to weak Source wells + While active, can ‘absorb’ magical attacks, reducing incoming magical damage by 10%. + When using Mana Skin to reduce damage, this costs 1 AP."
magecraft_reflexive_mana_skin,Reflexive Mana Skin,Magecraft,1,100,T1; Mana Skin,magecraft_mana_skin,,True,Railbound Skill Guide v4 p123,"Mana Skin → Reflexive Mana Skin Reflexive Mana Skin is an advanced skill honed by steady practice with using mana skin. The technique allows a person to instinctively use their own body’s mana to serve as a temporary shield against hostile environments, magical effects, and attacks – however concentrating mana in this way will shock the physical body. Taking Reflexive Mana Skin: ● Changes the way active use of Mana Skin works: ○ Mana Skin will now also reduce physical damage, not just magical. ○ Mana Skin will now guard against Strong Source wells Passive Use of Reflexive Mana Skin: ● Reflexive Mana Skin allows Mana Skin to be used passively, at an increased cost. ● When used passively, Mana Skin is automatically triggered to reduce damage so long as a bonus action and at least 1 AP is available, unless the character chooses to suppress the skill. ○ Characters may choose to consume the bonus action of the following turn if they do not have a bonus action available in the current turn. + When this skill is activated, it can ‘absorb’ magical attacks or physical attacks. + Any damage is reduced by 15%. + This requires use of a bonus action and 1 AP. + Adds the following Penalty, which lasts 1 Turn: + -15% Strength, Dexterity, & Stamina"
magecraft_mana_sensing,Mana Sensing,Magecraft,0,50,T0,,,True,Railbound Skill Guide v4 p124,"Mana Sensing → Mana Tracking Mana Sensing is a concentration skill, learned by using one’s own mana circuits to detect disturbances or changes in mana further away. With mana sensing, someone can detect the presence of wards, catalysts, spells, and even people or creatures with significant mana. ACTIVE SKILL Requires a free action to activate. + Drains 2% of mana per turn to maintain. + Allows detection of place and movement of wards, catalysts, spells, or living things with significant mana. + DISTANCE: Mana * 0.20, in meters DETECTION OF LIVING THINGS: Any living with greater than 100 remaining mana Excludes anything shielded with Mana Concealment"
magecraft_mana_tracking,Mana Tracking,Magecraft,2,175,T2; Mana Sensing,magecraft_mana_sensing,,True,Railbound Skill Guide v4 p125,"Mana Sensing → Mana Tracking Mana Tracking is an advanced version of Mana Sensing, allowing a mage to detect traces of mana even if the source has moved or is no longer around. It is a much more keen sense, allowing for a wider sensory range and detecting much lower levels of Source. ACTIVE SKILL Requires a free action to activate. + Drains 2% of mana per turn to maintain. + Allows detection of place and movement of wards, catalysts, spells, or living things with significant mana. + DISTANCE: Mana * 0.40, in meters DETECTION OF LIVING THINGS: Any living thing with mana + MANA CONCEALMENT DETECTION: + Can detect concealed mana if Affinity x 0.9 > Hidden Affinity Mana Concealment skills are not yet implemented for players, but may be used by GMs."
magecraft_overcharge,Overcharge,Magecraft,2,175,T2,,"Overcharge → Mastered Overcharge Overcharge allows a mage to “overcharge” a spell in order to make an overwhelming attack, or defend against one.",True,Railbound Skill Guide v4 p126,"Overcharging requires the use of a bonus action and 1 AP. Overcharging an ACTION: ● At the cost of x1.5 mana, do +35% more spell damage. ● SAFE OUTPUT LIMITS ARE IN PLAY. Overcharging a REACTION: ● You may do x2 times normal output when overcharging a purely defensive spell. ● There is no additional mana cost for this. ● SAFE OUTPUT LIMITS ARE IGNORED. ● Overcharged barriers are unstable and will immediately break after they are used to defend."
